name,growth_rate,exposure,soil,hardiness,water,height,spread,colourInSummer,colourInFall,colourPetals,slideShow
greater woodrush,Fast,"Filtered shade, Part sun/part shade",Bog,Zone 5: (-29 to -23 C),,0.7,1.0,,"Green, Green-yellow","Not showy, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506575B0>
blue potato bush,Fast,Full sun,Humus rich,Zone 7: (-18 to -12 C),Moderate,2.0,1.0,,Yellow,"Showy, White, Violet, Yellow, Blue",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50368040>
"yellow skunk cabbage , swamp lantern",Fast,"Full sun only if soil kept moist, Part sun/part shade",Humus rich,Zone 7: (-18 to -12 C),,1.3,1.5,,Yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50085E20>
gooseneck lysimachia,Fast,"Deep shade, Filtered shade, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate,1.3,1.5,,Green-yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A0B1F0>
"creeping Jenny, moneywort",Moderate,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 2: (-46 to -40 C),Moderate,0.2,0.6,"Yellow, Green",Green-yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D87E50>
"circle flower, yellow loosestrife",Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),,1.3,1.0,,Brown,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506123A0>
purple loosestrife,Fast,"Full sun, Part sun/part shade","Acidic, Bog, Humus rich",Zone 4: (-34 to -29 C),High,2.0,0.6,,Dark-red,"Showy, Magenta, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503DA040>
plume poppy,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),Low,3,3,,Silver / Grayish,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F0D340>
saucer magnolia,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate,7,7,,Green,"Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51ACC880>
Caerhays Belle magnolia,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate,10,7,,Green-yellow,"Showy, White, Pink, Purple, (exterior reddish purple, interior salmon pink to white)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C29730>
Susan's magnolia,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate,5,4,,"Yellow, Bronze","Showy, Purple, Red, Magenta, (fuchsia)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519CB490>
Galaxy magnolia,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),,10,7,,Yellow,"Showy, Purple, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503CDC40>
Loebner magnolia,Moderate,Full sun,Well-drained,Zone 5: (-29 to -23 C),,10,7,,Green-yellow,"Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E69D30>
"lily tree, Yulan magnolia",,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),,10,10,,Yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519CBF70>
southern magnolia,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate,15,10,,Green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C44400>
northern Japanese magnolia,Slow,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),,10,10,,Yellow,"Showy, White, (pinkish tinge)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506DC070>
Oyama magnolia,Moderate,"Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),,10,15,,Yellow,"Showy, White, (pink stamens)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51ACCDC0>
star magnolia,Slow,"Full sun only if soil kept moist, Part sun/part shade, Sheltered","Acidic, Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate,3,3,,"Brown, Yellow","Showy, White, Pink, (AGB: Magnolia stellata 'Rosea')",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51C87EE0>
charity mahonia,Moderate,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 7: (-18 to -12 C),Low,5,4,,Dark-green,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E8C040>
Oregon grape,Slow,"Full sun only if soil kept moist, Part sun/part shade",Acidic,Zone 5: (-29 to -23 C),Moderate,2.0,1.5,,,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FE5400>
longleaf mahonia,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate,0.7,1.0,,"Dark-green, Red",Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DF0580>
"creeping mahonia, creeping barberry",Moderate,"Full sun, Part sun/part shade",Acidic,Zone 5: (-29 to -23 C),Low,0.7,1.0,,Green,"Not showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519CB2B0>
false lily-of-the valley,Moderate,"Filtered shade, Part sun/part shade",Humus rich,Zone 3: (-40 to -34 C),"High, Moderate",0.2,1.0,,Green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51A2C910>
false Solomon's seal,Fast,Part sun/part shade,,Zone 3: (-40 to -34 C),,0.7,0.6,,Yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519F4310>
star-flowered false Solomon's seal,Fast,Part sun/part shade,,Zone 3: (-40 to -34 C),,0.4,0.3,,Yellow,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51AEFB20>
Royal Raindrops crabapple,Moderate,Full sun,,Zone 4: (-34 to -29 C),,7,5,,"Orange, Red","Showy, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503F3D60>
apple,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),,10,10,,Yellow,"Showy, White, Pink, (Pink in bud and first opening, flower ages to white quickly)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C591C0>
Japanese flowering crabapple,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate,10,10,,Yellow,"Showy, White, Pink, (deep pink in bud then flowers pale pink but some cv. more pink or all white)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503E72E0>
Pacific crabapple,Moderate,"Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),"Low, Wetlands",15,10,,"Orange, Red","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5071E190>
European crabapple,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate,10,7,"Green, Dark-green","Yellow, Bronze","Showy, White, Pink, (deep pink in bud then flowers pale pink but some cv. more pink or all white)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C20E50>
common mallow,Fast,Full sun,,Zone 7: (-18 to -12 C),,0.1,1.0,,,"White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C76070>
"shining mandevilla, pink mandevilla",Moderate,Full sun,,Zone 11: (above 4 C),,2.0,2.0,,,"Showy, Pink, Red, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E4EB80>
"Brazilian firecracker , candy corn vine",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 11: (above 4 C),Moderate,3,1.0,,,"Showy, Yellow, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507AE0D0>
"red-veined prayer plant, herringbone plant",Moderate,,Well-drained,Zone 11: (above 4 C),Moderate,0.4,0.3,"Green, Red, Red veins, purple undersides",,"Not showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E4CE80>
"prayer plant, rabbit tracks",Moderate,,"Acidic, Well-drained",Zone 11: (above 4 C),Moderate,0.4,0.3,"Bluish, Green","Bluish, Green","Not showy, White, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503A6C40>
"prayer plant, rabbit tracks",Moderate,,Well-drained,Zone 11: (above 4 C),Moderate,0.4,0.6,"Green, Red, Red veins, purple undersides",,"Not showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502C9C70>
"thalloid liverwort, lung liverwort",Moderate,"Deep shade, Filtered shade",,Zone 7: (-18 to -12 C),,0.1,0.1,,Green,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503AFDF0>
Madagascar jasmine,,"Full sun, Part sun/part shade",,Zone 11: (above 4 C),,3,2.0,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x937 at 0x7FBF51DFDD90>
pineapple weed,,Full sun,,Zone 6: (-23 to -18 C),,0.2,0.3,,,"Showy, Green-yellow, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51912E50>
ostrich fern,Fast,"Deep shade, Filtered shade, Part sun/part shade","Bog, Humus rich, Well-drained",Zone 3: (-40 to -34 C),"Moderate, Wetlands",1.3,1.0,,Green,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50074040>
stock,,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate,1.3,0.6,"Bluish, Green",,"Showy, White, Violet, Pink, Red, Yellow, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5074B8B0>
Himalayan blue poppy,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate,1.3,0.6,,,"Showy, White, Blue, Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51939790>
black medic,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),,0.1,0.3,,,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F5A1F0>
meliosma,Moderate,Full sun,Well-drained,Zone 8b: (-9.4 to -7 C),,10,7,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CEF220>
lemon balm,Fast,"Full sun, Part sun/part shade",Humus rich,Zone 3: (-40 to -34 C),Moderate,1.3,0.6,,,"Not showy, Yellow, White, (fades to white)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503451F0>
Chinese parasol,Slow,"Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),,7,5,,,"Pink, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BFDC40>
cucamelon,,Full sun,Well-drained,Zone 9: (-7 to -1 C),Moderate,3,1.5,,,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50297D90>
peppermint,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate,1.3,1.0,,Green,"Showy, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50074EB0>
"water spearmint, Hart's pennyroyal",,Full sun,,Zone 4: (-34 to -29 C),Wetlands,0.4,0.6,,,"Showy, Blue, White, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF52121310>
spearmint,Fast,Full sun,,Zone 3: (-40 to -34 C),,0.7,1.0,,,"White, Blue, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51EFC3D0>
apple mint,,Full sun,,Zone 6: (-23 to -18 C),,0.7,0.6,"Green, Silver / Grayish",,"White, Violet, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E1B520>
medlar,Moderate,"Full sun, Part sun/part shade, Sheltered","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate,5,4,"Bluish, Green","Yellow, Red","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5025BEE0>
dawn redwood,Fast,Full sun,"Acidic, Humus rich, Well-drained",Zone 5: (-29 to -23 C),"High, Moderate",30,5,,"Orange, Red, Brown","No flowers, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507969D0>
Siberian cypress,Slow,Full sun,Well-drained,Zone 2: (-46 to -40 C),Moderate,0.7,3,,Bronze,"No flowers, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF503A8FD0>
plush vine,Moderate,,,Zone 10: (-1 to 4 C),Moderate,0.4,0.6,,,"Not showy, White, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CDA070>
monkey flower,Fast,"Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),,0.4,0.6,,,"Showy, Yellow, Orange, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502B8610>
giant silver grass,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),Low,3,1.5,,"Yellow, Orange","Showy, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CC64C0>
orange flame grass,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),Moderate,2.0,1.0,,"Orange, Red, Brown","Showy, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51919490>
variegated maiden grass,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),Low,3,1.5,,Green,"Showy, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DC8A90>
maiden grass,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),High,3,2.0,"Bluish, Green, Yellow, All have a whitish midrib but cvs. Cosmopolitan, Morning Light, and Stictus are further variegated.","Brown, Yellow","Showy, Pink, Dark-red, Purple, (Inflorescence usually emerges whitish then reddish as flowers ripen and then silverish to light brown once they're spent.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51EED5B0>
dwarf maiden grass,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low,1.3,1.5,,"Green, Green-yellow","Showy, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF5060EE80>
porcupine grass,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low,3,1.5,,,"Showy, Pink, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FD5700>
Goliath maiden grass,,,,Zone 4: (-34 to -29 C),,,,,,"Showy, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FF6EE0>
Little Kitten maiden grass,,,,Zone 4: (-34 to -29 C),,0.4,0.6,,"Yellow, Brown","Showy, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503C1A00>
variegated maiden grass,,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate,2.0,2.0,"Green, Nearly White, Green with narrow white leaf margins.",,"Showy, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FFEA90>
maiden grass,Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),,1.3,1.0,"Bluish, Green, White midrib",Bronze,"Showy, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50611250>
Positano maiden grass,Fast,Full sun,,Zone 5: (-29 to -23 C),,3,2.0,,"Yellow, Orange","Showy, Silver",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506847F0>
silver feather maiden grass,Fast,Full sun,,Zone 4: (-34 to -29 C),,3,2.0,"Green, Green-yellow",Yellow,"Showy, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5060B4F0>
tall moor grass,Fast,Full sun,"Humus rich, Well-drained",Zone 4: (-34 to -29 C),Low,2.0,1.5,,"Green, Bronze","Showy, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50779460>
variegated moor grass,,Full sun,"Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate,0.7,0.6,"Dark-green, Green-yellow, Yellow",,Purple,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5072DF10>
bee balm,Fast,"Full sun only if soil kept moist, Part sun/part shade",,Zone 3: (-40 to -34 C),Moderate,1.3,0.6,"Green, Dark-green, reddish veins",Red,"Showy, Red, (cv. 'Raspberry Wine' has wine-red flowers; white, pink and dark red cvs. exist)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CC6A90>
monopsis,Fast,"Full sun, Part sun/part shade",,Zone 10: (-1 to 4 C),,0.4,0.6,,,"Showy, Blue, Purple, Violet, (with dark eye)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506D5820>
Swiss cheese plant or hurricane plant,Moderate,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 11: (above 4 C),Moderate,15,5,,Green,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519647C0>
weeping mulberry,Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate,10,10,,Yellow,"Not showy, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507420D0>
"creeping wire vine, maidenhair vine, mattress vine",,"Full sun, Part sun/part shade",Well-drained,Zone 8a: (-12 to -9.5 C),Moderate,0.2,0.3,,,"Showy, White, Green-yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E45A90>
mukdenia,Slow,"Full sun only if soil kept moist, Part sun/part shade",,Zone 4: (-34 to -29 C),,0.4,0.6,"Bronze, Dark-red, Green",,"Showy, White, (dark red centres)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CA6040>
banana,,"Full sun, Sheltered","Humus rich, Well-drained",Zone 8a: (-12 to -9.5 C),Moderate,3,2.0,,,"Showy, Pink, Yellow, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519E6970>
grape hyacinth,Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),,0.2,0.3,,,"Showy, Blue, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51ACFA30>
garden forget-me-not,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),,0.2,0.6,,,"Showy, Blue, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519F7B20>
"California wax myrtle, Pacific wax myrtle",Slow,Full sun,,Zone 7: (-18 to -12 C),,15,10,,Dark-green,"Not showy, Green-yellow, White, Purple, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C0C910>
"bog myrtle, sweet gale",Fast,"Filtered shade, Full sun, Part sun/part shade",Acidic,Zone 2: (-46 to -40 C),Wetlands,2.0,1.5,"Bluish, Green, whitish underneath",Yellow,"Showy, Green-yellow, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507D4460>
heavenly bamboo,Moderate,"Part sun/part shade, Sheltered",,Zone 7: (-18 to -12 C),"Low, Moderate",2.0,1.5,"Bluish, Green","Green, Red","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C17B50>
daffodil,Fast,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate,0.7,0.6,,Yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DF0CA0>
double dwarf daffodil,,,,Zone 5: (-29 to -23 C),,0.2,0.1,,,"Showy, Green-yellow, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506D1FD0>
King Alfred daffodil,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),,0.4,0.3,,,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51922DC0>
"Golden Bells daffodil, hoop-petticoat daffodil",Fast,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),,0.2,0.3,,,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51C2E4C0>
"narrow feather grass, Mexican feather grass, angel hair grass",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),"Summer dry, Winter dry",0.7,0.6,,Yellow,"Showy, White, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51AE7460>
watercress,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",,Zone 6: (-23 to -18 C),,2.0,0.6,,,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50610220>
nemesia,Fast,"Full sun, Part sun/part shade",,Zone 10: (-1 to 4 C),,0.4,0.6,,,"Showy, Violet, Pink, Purple, Dark-red, White, Yellow, Orange, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50057EE0>
blushing bromeliad,,,Well-drained,Zone 10: (-1 to 4 C),Low,0.4,0.6,"Green, Yellow, Red, Pink, Cream stripes, red at base of upper leaves",,"Showy, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF506C01C0>
catmint,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"Low, Summer dry",0.7,1.0,,Bluish,"Showy, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C88070>
Boston fern,,,,Zone 10: (-1 to 4 C),High,1.3,2.0,,,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BADEE0>
"oleander, rose bay",Fast,Full sun,"Humus rich, Well-drained",Zone 8b: (-9.4 to -7 C),Summer dry,3,1.5,"Dark-green, Silver / Grayish","Dark-green, Silver / Grayish","White, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503C0D30>
